Season,Name,Team,Season,PA,AVG,BB%,K%,OBP,SLG,OPS,ISO,BABIP,O-Swing% (sc),Z-Contact% (sc),Barrel%,HardHit%,EV,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
2015,"A.J. Ellis","LAD",2015,217,0.23756906,0.147465437,0.175115207,0.355140186,0.403314917,0.758455103,0.165745857,0.264705882,0.13533835,0.88727273,0.06849315,0.32876712,87.67872478945036,0.33594367621650156,0.3419163182096661,"A.J. Ellis",5677,454560
2016,"A.J. Ellis","- - -",2016,196,0.216374269,0.096938775,0.158163265,0.300518134,0.298245614,0.598763748,0.081871345,0.251798561,0.17142857,0.92765957,0.02777778,0.33333333,86.88767939028533,0.26631496589221254,0.3021394800632558,"A.J. Ellis",5677,454560
2017,"A.J. Ellis","MIA",2017,163,0.209790209,0.073619631,0.17791411,0.298136645,0.37062937,0.668766015,0.160839161,0.222222222,0.17735849,0.87892377,0.02586207,0.31034483,85.98108460022523,0.2940900940332353,0.27296630091637186,"A.J. Ellis",5677,454560
2018,"A.J. Ellis","SDP",2018,183,0.271523178,0.142076502,0.202185792,0.377777777,0.34437086,0.722148637,0.072847682,0.347826086,0.14243323,0.90650407,0.04201681,0.37815126,90.37272727272727,0.324650422487845,0.31872614039931185,"A.J. Ellis",5677,454560
2015,"A.J. Pierzynski","ATL",2015,436,0.299754299,0.043577981,0.084862385,0.339449541,0.429975429,0.76942497,0.13022113,0.31043956,0.36649215,0.92110454,0.03485255,0.25737265,85.40081637431881,0.33306003729319245,0.3187715762129454,"A.J. Pierzynski",746,150229
2016,"A.J. Pierzynski","ATL",2016,259,0.218623481,0.023166023,0.111969111,0.243243243,0.303643724,0.546886967,0.085020243,0.237442922,0.43765281,0.93069307,0.01809955,0.33936652,87.49120189525463,0.23557520005130028,0.267010966623862,"A.J. Pierzynski",746,150229
2015,"Aaron Altherr","PHI",2015,161,0.240875912,0.099378881,0.254658385,0.3375,0.489051094,0.826551094,0.248175182,0.301075268,0.22600619,0.87368421,0.03030303,0.43434343,90.90721649484536,0.35345617271959784,0.3120952102373231,"Aaron Altherr",11270,571437
2016,"Aaron Altherr","PHI",2016,227,0.202020202,0.101321585,0.303964757,0.303964757,0.292929292,0.596894049,0.09090909,0.288,0.26834382,0.83394834,0.03100775,0.34883721,88.24687194824219,0.26974704027175905,0.28248797144208637,"Aaron Altherr",11270,571437
2017,"Aaron Altherr","PHI",2017,412,0.271505376,0.077669902,0.252427184,0.339805825,0.516129032,0.855934857,0.244623656,0.328,0.23536896,0.81609195,0.10408922,0.43122677,89.25427654507435,0.3591757487959978,0.34060430176975093,"Aaron Altherr",11270,571437
2018,"Aaron Altherr","PHI",2018,285,0.181069958,0.126315789,0.319298245,0.294736842,0.333333333,0.628070175,0.152263375,0.246575342,0.21678322,0.81025641,0.0974026,0.45454545,90.43725745506536,0.28195578466381943,0.3155026654893855,"Aaron Altherr",11270,571437
2015,"Aaron Hicks","MIN",2015,390,0.255681818,0.087179487,0.169230769,0.323076923,0.397727272,0.720804195,0.142045454,0.285198555,0.21673525,0.88627451,0.03125,0.33333333,88.81818181818181,0.31440339844251414,0.33025998610226226,"Aaron Hicks",5297,543305
2016,"Aaron Hicks","NYY",2016,361,0.217125382,0.083102493,0.18836565,0.280555555,0.336391437,0.616946992,0.119266055,0.248031496,0.20512821,0.83811475,0.04562738,0.34980989,89.11828945768482,0.26993190744129064,0.2895654812665053,"Aaron Hicks",5297,543305
2017,"Aaron Hicks","NYY",2017,361,0.26578073,0.141274238,0.185595567,0.372222222,0.475083056,0.847305278,0.209302326,0.290178571,0.19260204,0.81030445,0.075,0.325,86.70042386968085,0.36275361511442394,0.3482536508255646,"Aaron Hicks",5297,543305
2018,"Aaron Hicks","NYY",2018,581,0.247916666,0.154905335,0.191049913,0.366148531,0.466666666,0.832815197,0.21875,0.264367816,0.15772871,0.82038217,0.08753316,0.42970822,89.7097339527027,0.3598501572971938,0.3710002799308737,"Aaron Hicks",5297,543305
2019,"Aaron Hicks","NYY",2019,255,0.235294117,0.121568627,0.282352941,0.325490196,0.443438914,0.76892911,0.208144797,0.285714285,0.21328671,0.80254777,0.09868421,0.36842105,89.76052374588816,0.325209501210381,0.2964123295802696,"Aaron Hicks",5297,543305
2020,"Aaron Hicks","NYY",2020,211,0.224852071,0.194312796,0.180094786,0.379146919,0.414201183,0.793348102,0.189349112,0.256,0.15665236,0.78892734,0.06870229,0.38167939,88.22868217054264,0.35096849714006695,0.3737362948330966,"Aaron Hicks",5297,543305
2022,"Aaron Hicks","NYY",2022,453,0.216145833,0.136865342,0.240618101,0.329646017,0.3125,0.642146017,0.096354167,0.278810408,0.20546559,0.8381877,0.05755396,0.33093525,87.88205414377289,0.2922387125762905,0.3025654359685228,"Aaron Hicks",5297,543305
2023,"Aaron Hicks","- - -",2023,312,0.252788104,0.134615384,0.221153846,0.352564102,0.382899628,0.73546373,0.130111524,0.310880829,0.21229868,0.85175879,0.039801,0.29353234,85.32842614808058,0.32621970494843755,0.282899419982712,"Aaron Hicks",5297,543305
2015,"Aaron Hill","ARI",2015,353,0.230031948,0.087818696,0.152974504,0.294617563,0.345047923,0.639665486,0.115015975,0.252873563,0.22222222,0.91224018,0.02247191,0.29588015,88.34846003605769,0.28128737785323144,0.2962810979413159,"Aaron Hill",6104,431094
2016,"Aaron Hill","- - -",2016,429,0.261904761,0.095571095,0.137529137,0.335680751,0.378306878,0.713987629,0.116402117,0.284345047,0.22312925,0.91465677,0.01226994,0.26380368,86.66301246571317,0.3125389597888263,0.3113818191455312,"Aaron Hill",6104,431094
2017,"Aaron Judge","NYY",2017,678,0.284132841,0.187315634,0.30678466,0.421828908,0.627306273,1.049135181,0.343173432,0.356643356,0.20543807,0.80474041,0.25739645,0.55029586,95.01157385942136,0.430184422851145,0.45026038000891516,"Aaron Judge",15640,592450
2018,"Aaron Judge","NYY",2018,498,0.278450363,0.152610441,0.305220883,0.391566265,0.527845036,0.919411301,0.249394673,0.368200836,0.19649123,0.77179081,0.16165414,0.54135338,94.70112781954887,0.39098546348436913,0.3925867737063512,"Aaron Judge",15640,592450
2019,"Aaron Judge","NYY",2019,447,0.272486772,0.143176733,0.315436241,0.381165919,0.539682539,0.920848458,0.267195767,0.360189573,0.2205029,0.78782609,0.20083682,0.58158996,96.03571428571429,0.38221578711298254,0.4018107280472285,"Aaron Judge",15640,592450
2021,"Aaron Judge","NYY",2021,633,0.287272727,0.118483412,0.249605055,0.372827804,0.543636363,0.916464167,0.256363636,0.332402234,0.22030238,0.83046683,0.17632242,0.57934509,95.82436746510152,0.38704453784199033,0.4181348416751947,"Aaron Judge",15640,592450
2022,"Aaron Judge","NYY",2022,696,0.310526315,0.159482758,0.251436781,0.424855491,0.685964912,1.110820403,0.375438597,0.340236686,0.23156533,0.83219955,0.26237624,0.61138614,95.77769619360902,0.45819641417238366,0.46335875828113354,"Aaron Judge",15640,592450
2023,"Aaron Judge","NYY",2023,458,0.267029972,0.192139737,0.283842794,0.406113537,0.613079019,1.019192556,0.346049047,0.30049261,0.17997978,0.7693575,0.275,0.64166667,97.64727706589959,0.4203612742020452,0.4613668237413679,"Aaron Judge",15640,592450
2024,"Aaron Judge","NYY",2024,704,0.322003577,0.188920454,0.242897727,0.458036984,0.701252236,1.15928922,0.379248659,0.367469879,0.17651099,0.80293501,0.2685422,0.6112532,96.23058925128535,0.4757340011100992,0.4796257916618796,"Aaron Judge",15640,592450
